,text,original_label,normalized_entropy
0,article ashish arora writes excerpts netnewssciecon apr supply side economic po deficits declined reaching low gnp tax spending hike reversed trend brett true details would appreciated billions dollars gnp year gnp receipts outlays deficit debt unempl admin carter carter carter carter reagan reagan reagan reagan reagan reagan reagan reagan bush bush bush source statistical abstract us version american almanac version universal almanac version information please almanac version graphically deficits gnp gnp x x x x x x x x x ironically bush could frozen spending kept new taxes pledge balanced budget brett theres nothing passionate vested interest disguised intellectual conviction sean ocasey white plague frank herbert,talk.politics.misc,0.2233345294150432
1,gateway telepath modem month actually one wouldnt connect anything matter software used got new one sent allows connect favorite news system zero problems im somewhat happier still cannot connect favorite dos bbs kind reliability success calls good would hope fact one connect least one fave places means need adjust usually get fast stream garbage modem response line dial window sometimes drop full screen mode first get screens garbage cases modem seems time connecting drops carrier using default settings atf getting problem using autoconfigure settings gateway supplied copy qmodem atw c w getting problem refused help beyond claiming must bbs something like work modem connects place fine using factory settings microcom anyone ideas next waco update ohio prison update bosnia update russian update abortion update congressional update snn standoff news network news standoff day daniel hartung ask rotaract,comp.sys.ibm.pc.hardware,0.7281704781096027
2,anybody provide advice concerning following two health problems first recently diagnosed using ugi series schatzki ring small sliding hiatal hernia understand hernia relatively minor problem though occasionally nasty heartburn probably related schatzki ring hand causing swallowing difficulty particular im careful eating slowly thoroughly chewing food food occasionally gets stuck reaching stomach results period painful spasms food attempts pass obstruction fortunately food always managed pass annoying causes frequent discomfort doctor wants dilate ring using following procedure use endoscope examine esophagus stomach inflammation cut ring dilate passing kind balloon something thru esophagous would like know anyone similar procedure doneif painful successful etc also anyone comment safety advisability success rate procedure become common procedure kind leery invasivesounding procedure performed currently nonthreatening condition especially considering possible side effects bleeding perforation reaction anesthesia second issue past years large number extra heartbeats particular past month dramatic increasea holter monitor recently showed pvcs hrs along pacs many days far howeverfive ten per hour isolated cardiologist indicated number normal certainly doesnt feel normal past also couple episodes extended runs beats one lasted long enough cause severe lightheadedness relatively young ish thin good health recent bloodtests normal smoke use drugs caffeine etc im willing accept extra beats normal dont want ignore might kind warning symptom number pvcs seems increase throughout day exercise something simple climbing stairs also get sitting lying tend get couple extra beats could possibly related esophagous problems seemed develop time thanks helpadvice,sci.med,0.018344244730709808
3,article mike silverman writes anybody know going lankford know games slight injury since beenback injury matter really struggling plate basepaths performance plate may well shoulder injury received ran wall making catch cincy series may also pressing little baserunning appear lankford dent made bad call sending lankford sunday night game cincy everyone bad time dodgers catcher whereis ray lankford saw last year good question least doesnt appear seeing zeile h bob netherton missouri pacific sun microsystems mp dallas tx ooo ooo,rec.sport.baseball,0.25299990277349405
4,article stich christian e writes installed motorola xc rc fpu amiga board mhz capability clock fpu separately previously mc rc installed everything working perfectly systems displays yellow screen indicating exception check presencetype fpu reinstall mc rc system works fine xc even mhz work designer board mentioned putting pullup resistor datastrobe ohm might help didnt change anything anybody suggestions could look like cpufpu communications problem particular chip dead pull new moreover place bought sending xc rc thought rc labeled mc xc finalized mask design mc rc xc rc math coprocessor installed succesfully mega midget racer clocked mhz tried clocking fpu mhz worked fine mc cpu dont know fpu xc original mhz fpu label mc seems work fine system maybe bad chip stefan ps mean experimental chip instead motorola chip,sci.electronics,0.6672919978309051
5,circuits abound electronic project books youre inclined buy something try radio shack think still device designed disconnect answering machine extension line lifted led indicators also kyler,sci.electronics,0.04540352246741617
6,original poster wanted know big cat looked also saturday game montreal apr rockies havent paid much attention gallarraga since left expos stance seemed much different stands erect open left foot pointing rd base im wondering recent change stance andres one glaring weakness hitter could always fooled curve ball low away indeed new stance maybe fooled easily patience dennis martinez definitely good stuff grooving pitches andres hardly fault drilling andres generally start hot cold take may pitchers confidence curve ball low away roger healey,rec.sport.baseball,0.16250871298229458
7,article satya prabhakar writes michael sells writes fresh case ethnic cleansing another chapter continuing saga intense mutual hatred destruction every place earth scene saga mutual hatred destruction holocaust fresh case another chapter year history attacks jews europe didnt make acceptable balkan history make genocide bosnian muslims acceptable guess acceptable germany also chose path aggression simultaneously put interests countries peril wonder whether us countries would risked jews persecuted hitler imperialist ambitions student history asking questions actually record allies activities face incontrovertible evidence nazis may rot hell clearly points conclusion would done nothing railways camps bombed despite ease us place refuge allowed bare pittance jews europe primarily public relations government could say something many ships refugees turned away us shores found refuge cuba south america many others sunk return europe predictable consequences hope today collectively learned lesson less complacent ignore countries internal affairs sad reality seem case sean philip shlomo engelson yale department computer science box yale station new ct,talk.politics.mideast,0.13101538546274416
8,read article poll done students ivy league schools reported third students indentified atheists lot higher among general population wonder reasons discrepancy intelligent younger wave future david nye midelfort clinic eau claire wi patently absurd whoever wishes become philosopher must learn frightened absurdities bertrand russell,alt.atheism,0.0791612111128507
9,one thing havent seen thread discussion relation ibd inflammation profile ingested fatty acids fas diagnosed last may wcrohns terminal ileum got hospital read bit came across several studies investigating role epa essentially fa reducing inflammation evidence mixed many studies discussed inflammatory bowel disease macdermott stenson recall correctly methodological bones picked studies ones wpos wneg results studies patients given epa gramsday studies recall correctly restriction fas patients could consume informed laypersons perspective seems mistaken lots n fas consumed along epa ratio bad prostanoid products good prostanoid products could still fairly bad isnt ratio issue whats view gastro community epa days epa supplements along fairly severe restriction fas appear helped significantly though could low absolute amount fat eat calories brian,sci.med,0.1444972048765498
