text,label
It 's Quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer .,5
"Though it flirts with bathos and pathos and the further Oprahfication of the world as we know it , it still cuts all the way down to broken bone .",3
"The more you think about the movie , the more you will probably like it .",4
Spare yet audacious ...,3
Decent but dull .,2
Uzumaki 's interesting social parallel and defiant aesthetic seems a prostituted muse ...,2
The most compelling performance of the year adds substantial depth to this shocking testament to anti-Semitism and neo-fascism .,5
"The case is a convincing one , and should give anyone with a conscience reason to pause .",5
Watching Spirited Away is like watching an Eastern imagination explode .,3
"This would-be ` James Bond for the Extreme Generation ' pic is one big , dumb action movie .",1
"As the movie dragged on , I thought I heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign .",1
"It may not be history -- but then again , what if it is ?",3
What a stiflingly unfunny and unoriginal mess this is !,1
"Almost nothing else -- raunchy and graphic as it may be in presentation -- is one-sided , outwardly sexist or mean-spirited .",3
"The whole affair , true story or not , feels incredibly hokey ... ( it ) comes off like a Hallmark commercial .",2
"As part of Mr. Dong 's continuing exploration of homosexuality in America , Family Fundamentals is an earnest study in despair .",4
Just a bunch of good actors flailing around in a caper that 's neither original nor terribly funny .,1
"It 's super - violent , super-serious and super-stupid .",1
"From a deceptively simple premise , this deeply moving French drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times .",5
... this is n't even a movie we can enjoy as mild escapism ; it is one in which fear and frustration are provoked to intolerable levels .,1
A gift to anyone who loves both dance and cinema,4
"See Scratch for the history , see Scratch for the music , see Scratch for a lesson in scratching , but , most of all , see it for the passion .",5
The bottom line is the piece works brilliantly .,4
"This enthralling documentary ... is at once playful and haunting , an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends .",5
"A huge box-office hit in Korea , Shiri is a must for genre fans .",4
"An inconsequential , barely there bit of piffle .",2
Too bad .,2
"The Sweetest Thing , a romantic comedy with outrageous tendencies , may be a mess in a lot of ways .",3
"Rich in atmosphere of the post-war art world , it manages to instruct without reeking of research library dust .",4
"In theory , a middle-aged romance pairing Clayburgh and Tambor sounds promising , but in practice it 's something else altogether -- clownish and offensive and nothing at all like real life .",2
