text,label
` Hey Arnold ! ',3
than ` Magnifique ' .,3
"Triple X is a double agent , and he 's one bad dude .",4
"But this time , the old MIB label stands for Milder Is n't Better .",2
A cockeyed shot all the way .,2
Could I have been more geeked when I heard that Apollo 13 was going to be released in IMAX format ?,5
Hey Arnold !,3
"Boy oh boy , it 's a howler .",3
In an ART FILM !,4
"Made to be Jaglomized is the Cannes Film Festival , the annual Riviera spree of flesh , buzz , blab and money .",2
Great dragons !,4
"If you do n't laugh , flee .",3
"The picture runs a mere 84 minutes , but it 's no glance .",4
It was a dark and stormy night ...,3
"As an actress , Madonna is one helluva singer .",5
It 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .,2
"The movie turns out to be ( Assayas ' ) homage to the Gallic ` tradition of quality , ' in all its fusty squareness .",2
Troll the cult section of your local video store for the real deal .,3
Martyr gets royally screwed and comes back for more .,3
Cynics need not apply . ',3
"Yes , soar .",4
"Every so often a film comes along that is so insanely stupid , so awful in so many ways that watching it leaves you giddy .",2
"I 'll put it this way : If you 're in the mood for a melodrama narrated by talking fish , this is the movie for you .",3
I ca n't say this enough : This movie is about an adult male dressed in pink jammies .,2
The fourth in a series that I 'll bet most parents had thought -- hoped !,3
"Maybe LeBlanc thought , `` Hey , the movie about the baseball-playing monkey was worse . ''",2
"Call me a cold-hearted curmudgeon for not being able to enjoy a mindless action movie , but I believe a movie can be mindless without being the peak of all things insipid .",1
This is SO De Palma .,3
"Here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit Sascha .",2
"You have once again entered the bizarre realm where director Adrian Lyne holds sway , where all relationships are simultaneously broadly metaphorical , oddly abstract , and excruciatingly literal .",3
"As any creature-feature fan knows , when you cross toxic chemicals with a bunch of exotic creatures , you get a lot of running around , screaming and death .",3
"After seeing ` Analyze That , ' I feel better already .",4
"scenario that will give most parents pause ... Then , something terrible happens .",3
What can one say about a balding 50-year-old actor playing an innocent boy carved from a log ?,3
Bella is the picture of health with boundless energy until a few days before she dies .,3
"Austin Powers in Goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .",2
"No Such Thing is sort of a minimalist Beauty and the Beast , but in this case the Beast should definitely get top billing .",5
"Blade II is as estrogen-free as movies get , so you might want to leave your date behind for this one , or she 's gonna make you feel like you owe her big-time .",3
Disturbing .,2
Show me the mugging .,3
To Blandly Go Where We Went 8 Movies Ago ...,2
That 's its first sign of trouble .,2
"When you resurrect a dead man , Hard Copy should come a-knocking , no ?",3
"In gleefully , thumpingly hyperbolic terms , it covers just about every cliche in the compendium about crass , jaded movie types and the phony baloney movie biz .",3
Does anyone much think the central story of Brendan Behan is that he was a bisexual sweetheart before he took to drink ?,3
"Apparently , romantic comedy with a fresh point of view just does n't figure in the present Hollywood program .",1
"` It 's painful to watch Witherspoon 's talents wasting away inside unnecessary films like Legally Blonde and Sweet Home Abomination , I mean , Alabama . '",1
It 's not the least of Afghan tragedies that this noble warlord would be consigned to the dustbin of history .,2
"As underwater ghost stories go , Below casts its spooky net out into the Atlantic Ocean and spits it back , grizzled and charred , somewhere northwest of the Bermuda Triangle .",2
"The self-serious Equilibrium makes its point too well ; a movie , like life , is n't much fun without the highs and lows .",2
You want to call Domino 's .,3
Feels as if the inmates have actually taken over the asylum .,3
"But when it does , you 're entirely unprepared .",3
"Resident Evil is n't a product of its cinematic predecessors so much as an MTV , sugar hysteria , and PlayStation cocktail .",2
Can you bear the laughter ?,4
You 'll feel like you ate a Reeses without the peanut butter ... ',2
"Without ( De Niro ) , City By The Sea would slip under the waves .",2
"Much has been written about those years when the psychedelic '60s grooved over into the gay '70s , but words do n't really do the era justice .",4
It is a movie about passion .,3
The only question ... is to determine how well the schmaltz is manufactured -- to assess the quality of the manipulative engineering .,2
