text,label
" #39;Grand Theft Auto San Andreas #39; blows away gamers, reaps criticism Scott Wilhelm skipped school, took a day off from work, drove 15 miles and visited five stores - just so he could roam the fake streets of San Andreas and shoot people.",Sci/Tech
"LIQUID DIET After the startling success of its turkey and gravy-flavoured soda during last year #39;s US holiday season, a Seattle soda company will be serving up green beans and casserole, mashed potatoes and butter, fruitcake and cranberry flavours.",Business
Viewpoint Search Tool and Avon Team to Battle Breast Cancer Viewpoint Search Tool and Avon Team to Battle Breast Cancer\\Graphical search engine toolbar Viewpoint is working with the Avon Foundation to create and distribute a custom search toolbar that promotes the Avon Foundation Breast Cancer Crusade. The program will give the Foundation access to a new source of funding as ...,Sci/Tech
Video game giants roll out products Nintendo Co. and Sony Corp. made separate product announcements Tuesday that the video game giants hope will attract more customers ahead of the highly competitive holiday shopping season.,Business
"Amazon.com, Microsoft sue spammers,  #39;phishers #39; Amazon.com Inc. and Microsoft Corp. have filed several lawsuits in various Seattle courts aimed at computer spammers and  quot;phishers quot; who use a look-alike Amazon.",Business
"WHO Urges Science to Keep World Healthy (AP) AP - Technological advances that help drug companies churn out highly profitable prescription medications must also be applied to improving public health care around the globe, a World Health Organization report released Wednesday says.",Sci/Tech
Ex-NetScreen CEO joins start-up The former CEO of NetScreen Technologies has moved on to a new upstart. Can he make the same magic work again?,Sci/Tech
Decline hits North American birds The National Audubon Society #39;s State of the Birds report draws on data collected between 1966 and 2003 for 654 American bird species.,Sci/Tech
OSDL Looks Under the Sofa Cushions for Signs of Linux Growth The Open Source Development Labs has gone into the soothsayer business and - based on research that it had IDC run up - says that the global Linux market will be worth \$35.7 billion in 2008.,Sci/Tech
"iTunes now accepting Paypal payment Today, both Apple and Paypal have announced that the iTunes music store in the US will now accept Paypal purchases for anything on iTunes.",Sci/Tech
"Correction: Spam-Lawsuit Story (AP) AP - In an Aug. 29 story about a permanent injunction against a Rhode Island man who sent unsolicited text messages to Verizon Wireless cell phone customers, The Associated Press erroneously reported the date of the federal court action. The injunction was granted Aug. 23, not Aug. 27.",Sci/Tech
Moving Ideas Off Campus The transfer of technological innovations from the campus to the capitalist marketplace has been a financial windfall for many schools.,Sci/Tech
"IBM to Expand Data Centers Across World  SAN FRANCISCO (Reuters) - IBM is expanding and adding new  technology to 11 of its data centers in North America, Europe  and Asia to meet growing demand and rolled out new services to  customers, the world's largest computer company said late on  Thursday.",Business
"Vodafone Peddles New BlackBerry Research In Motion #39;s BlackBerry 7100v, which sports the company #39;s latest keyboard technology, is being offered exclusively through Vodafone.",Sci/Tech
"Winter Weather Outlook Mixed, El Nino Looms (Reuters) Reuters - Winter will be warmer than normal in\the U.S. Western and Plains states and colder than usual in the\Southeast and mid-Atlantic regions, but the return of El Nino\is making it hard for forecasters to hazard a guess for much of\the country, meteorologists said on Wednesday.",Sci/Tech
3 Giants Create New Online Music Service Three major recording companies have agreed to make their music available to be shared and sold over a new online file-swapping service that aims to lure music fans away from rival ,Sci/Tech
RIAA Files 750 New File-trading Lawsuits The RIAA announced it has filed 750 new lawsuits against alleged file-traders using peer-to-peer (P-to-P) software.  quot;The 750 new lawsuits were against  quot;John Doe quot; defendants not yet identified by the RIAA.,Sci/Tech
"US Newspapers and their Audience USA Today is read by people who think they ought to run the country but dont really understand the Washington Post. They do, however, like their smog statistics shown in pie charts.",Business
Apple iTunes accepts PayPal Apple and PayPal announced on Friday that the US incarnation of the iTunes Music Store (ITMS) now accepts payment via PayPal #39;s Virtual Wallet.,Sci/Tech
"No relief as IMF and World Bank talks on poor end in failure THE worlds leading finance officials and ministers yesterday failed to reach agreement on debt relief for the poorest nations. Wrapping up a weekend of IMF and World Bank talks in Washington, no agreement appeared to have been secured.",Business
"The full horror of Ed Wood must be seen to be believed (USATODAY.com) USATODAY.com - Tim Burton's Ed Wood, which earned Martin Landau an Oscar for playing Bela Lugosi, is finally out an DVD today. But what about the real-life oeuvre of writer/director/auteur Edward D. Wood Jr. (1924-1978)?",Sci/Tech
"Senate Wants Intel Chief With Budget Say (AP) AP - The committee writing the Senate's intelligence reorganization plan is recommending creation of a strong national intelligence director with spending power, while leaving the Pentagon in charge of some military spy agencies.",World
"Nigerian Unions Launch Strike But Oil Exports Flow Unions began a four-day strike against rising fuel prices in Nigeria on Monday, helping drive world oil prices to record highs even though shipments from Africa #39;s top producer were unaffected.",World
Artificial trees grow on Americans More and more Americans are waking up Christmas morning to find Santa #39;s presents nestled under the plastic branches of an artificial tree.,Business
"A cure for shortage? It #39;s too late for this year #39;s flu season, but a Canadian drug company yesterday said it has agreed to provide influenza vaccines to Henry Schein Inc.",Business
"Microsoft and Sun #39;s difficult dance news analysis Microsoft and Sun Microsystems may be going steady, but they aren #39;t quite sure where the relationship is headed.",Sci/Tech
"Turin Olympic chief set to quit The official in charge of organising the Turin 2006 Winter Olympics is set to quit because of a power struggle. The Italian government has appointed Mario Pescante to oversee the Games, to the fury of Valentino ",Sports
Development May Endanger Protected Species (AP) AP - The Bush administration said Friday it will allow developers to complete construction and other projects even after belated discoveries that the work could endanger protected species.,Sci/Tech
"Frances Damages NASA Space Center (AP) AP - Hurricane Frances did more damage to the Kennedy Space Center than any other storm in history, tearing an estimated 1,000 exterior panels from the Vehicle Assembly Building and leaving a checkerboard of holes, officials said Monday.",Sci/Tech
"Favre's Mother Falls Ill on Book Tour (AP) AP - Brett Favre's mother was hospitalized Thursday with stomach pains, interrupting her book tour.",Sports
Ex-NASA Worker Pleads Innocent of Fake Inspections A fired NASA safety inspector accused of falsifying space shuttle inspection reports pleaded not guilty to 166 criminal charges on Friday and a trial was tentatively set for Dec. 1.,Sci/Tech
"Breeding Captive Elephants Is Difficult (AP) AP - Elephants in zoos are living as long as those in the wild, but their population in captivity is dwindling because it is so difficult to breed them, according to studies released Friday.",Sci/Tech
"General Wireless #39; Technology Opens up New Ways for PC Users to &lt;b&gt;...&lt;/b&gt; STOCKHOLM, Sweden, October 11 /PRNewswire/ -- Following an agreement between Vodafone UK, Starhome and General Wireless, Vodafone #39;s business customers can now send and receive text messages (SMS) in their MS-Outlook and Lotus Notes.",Sci/Tech
Motorola To Develop FOMA Mobile Phone Handset for DoCoMo DoCoMo previously procured FOMA handsets only from domestic manufacturers. The two companies -- Motorola and DoCoMo -- said they aim to market the new handset from next spring targeting business users.,Sci/Tech
"Congress Puts Hooks in Copyright Crooks Congressional lawmakers are taking a cue from Hollywood with an aim to beef up penalties against people who illegally swap copyrighted movies and songs over the Internet. \&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;",Sci/Tech
"Actuate Joins Eclipse, Starts Open-Source BI Project (Ziff Davis) Ziff Davis - After joining the Eclipse Foundation, the company launches a project to create open-source business intelligence and reporting tools.",Sci/Tech
Plan unveiled to ease Iraq debt Germany has unveiled an international plan to wipe out tens of billions of dollars of Iraqi debt so that the war-torn country can rebuild in earnest.,World
German bank customers victims of phishing FRANKFURT: German banks Postbank and Deutsche Bank said Monday that their customers had been recent victims of Internet fraud via copycat websites.,Sci/Tech
